EIIN,INSTITUTE NAME
104272,CMP SCHOOL & COLLEGE
104273,CITY GOVT. GIRLS HIGH SCHOOL
104275,"COLLEGIATE SCHOOL, CHITTAGONG"
104276,EAST MADARBARI CITY CORP. GIRLS HIGH SCHOOL
104277,TICKET PRINTING PRESS COLONY HIGH SCHOOL
104278,WIRELESS JHAUTALA COLONY HIGH SCHOOL
104279,AGRABAD BALIKA BIDYALAY
104280,HATEY KHARI HIGH SCHOOL
104281,POSTAR PAR CITY CORP. BOYS HIGH SCHOOL
104282,BARIK MIAH HIGH SCHOOL
104283,WEST MADAR BARI CITY CORPORATION GIRLS HIGH SCHOOL
104284,G. R. K. (RAMKRISHNA) HIGH SCHOOL
104285,KHAJA AJMERI HIGH SCHOOL
104286,K. B. A. H. DOBHASH CITY CORP. GIRLS HIGH SCHOOL
104287,AL-JABER INSTITUTE
104288,AGRABAD GOVT. COLONY HIGH SCHOOL
104289,T & T HIGH SCHOOL
104291,BIDYUT UNNAYAN BOARD HIGH SCHOOL
104292,PATHANTULY CITY CORPORATION GIRLS HIGH SCHOOL
104293,SILVER BELLS GIRLS HIGH SCHOOL
104294,BANGLADESH BANK COLONY HIGH SCHOOL
104295,HOUSING AND SETTLEMENT PUBLIC SCHOOL
104296,FOREST COLONY GIRLS HIGH SCHOOL
104297,TIGER PASS HIGH SCHOOL
104298,RAILWAY EMPLOYEES GIRLS HIGH SCHOOL
104304,POSTAR PAR ASMA KHATUN CITY CORP. GIRLS HIGH SCHOOL
104305,NARAYANHAT GIRLS HIGH SCHOOL
104306,CHIKAN CHHARA HIGH SCHOOL
104307,LATIF RAHMAN HIGH SCHOOL
104308,JAHANARA MAMATAZ GIRLS HIGH SCHOOL
104309,BHUZPUR ADARSHA HIGH SCHOOL
104310,BHUZPUR NATIONAL HIGH SCHOOL
104311,DANTMARA AZIZA BADRUZZAMAN SIKDER HIGH SCHOOL
104312,NANUPUR GIRLS HIGH SCHOOL
104313,NORTH DHARMAPUR HIGH SCHOOL
104314,DOULATPUR ABDUL BARI CHOWDHURY HIGH SCHOOL
104315,MAIZBHANDAR GIRLS HIGH SCHOOL
104316,DHURUNG KHULSHI LIONS HIGH SCHOOL
104317,SHAHNAGAR BOHUMUKHI HIGH SCHOOL
104318,FATIK CHHARI GIRLS HIGH SCHOOL
104319,FATIKCHHARI CORONATION A. HIGH SCHOOL
104320,NAZIRHAT ADARSHA HIGH SCHOOL
104321,ROSANGIRI GIRLS HIGH SCHOOL
104322,MAIZBHANDAR AHMADIA HIGH SCHOOL
104323,ROSANGIRI HIGH SCHOOL
104324,HAIDCHAKIA MULTILATERAL HIGH SCHOOL
104325,BARMASIA A. K. HIGH SCHOOL
104326,JAHANPUR AMJAD ALI ABDUL HADI INSTITUTION
104327,NANUPUR ABU SOBHAN HIGH SCHOOL
104328,NARAYAN HAT HIGH SCHOOL
104329,BAKHTPUR DAYRABARI BOHUMUKHI HIGH SCHOOL
104330,DHARMAPUR HIGH SCHOOL
104331,PAINDANG HIGH SCHOOL
104332,KANCHAN NAGAR BOHU MUKHI HIGH SCHOOL
104333,SOMITIR HAT HIGH SCHOOL
104334,DHARMAPUR KAMAL KRISHNA GIRLS HIGH SCHOOL
104335,HARUYALCHHARI HIGH SCHOOL
104336,KHIRAM HIGH SCHOOL
104337,DR. MOHAMMAD ENAMUL HOQUE ACADEMY
104338,HASNABAD MADINATUL ARAB HIGH SCHOOL
104339,NAZIR HAT GIRLS HIGH SCHOOL
104340,HEYAKO BANANI HIGH SCHOOL
104341,MIRZARHAT HIGH SCHOOL
104342,BAGANBAZAR HIGH SCHOOL
104343,SHANTIR HAT HIGH SCHOOL
104344,BALUTILA IDEAL HIGH SCHOOL
104345,COLLEGIATE HIGH SCHOOL
104346,SUABIL HIGH SCHOOL
104347,GOZARIA JABUNNESA PARA HIGH SCHOOL
104348,BAKHTAPUR GIRLS HIGH SCHOOL
104349,AZIMPUR ADHARSHA HIGH SCHOOL
104350,SOUTH NICHINTAPUR HIGH SCHOOL
104351,RASULPUR JUNIOR HIGH SCHOOL
104352,SUABIL GIRLS HIGH SCHOOL
104353,AZIMNAGAR AHAMADIA RAHAMANIA HIGH SCHOOL
104354,RANGAMATIA HIGH SCHOOL
104355,GOPALGHATA HIGH SCHOOL
104356,SYED SYEDA MEMORIAL HIGH SCHOOL
104394,GULTAZ MEMORIAL SCHOOL & COLLEGE
104396,ALHAZ YEAKUB ALI GIRLS HIGH SCHOOL AND COLLEGE
104398,NORTH MADARSHA HIGH SCHOOL
104399,MIR NOWABUL HOQUE MEMORIAL HIGH SCHOOL
104400,FATEPUR HIGH SCHOOL
104401,ALIPUR RAHMANIA HIGH SCHOOL
104402,FATEPUR MEHERNEGA HIGH SCHOOL
104403,HATHAZARI GIRLS HIGH SCHOOL
104404,SOUTH MADARSHA S. S. M. HIGH SCHOOL
104405,KUYAISH BURISHCHAR SAMMILANI HIGH SCHOOL
104406,BIRSHRESHTHO MOHIUDDIN JAHANGIR CANTONMENT BOARD HIGH SCHOOL
104407,FATEHABAD MODEL MULTILATERAL HIGH SCHOOL
104409,CHITTAGONG CANTONMENT BOARD HIGH SCHOOL
104410,K. S. NOZU MIAH HIGH SCHOOL
104411,HATHAZARI PARBATI MODEL GOVT. HIGH SCHOOL
104412,NANGALMORA HIGH SCHOOL
104413,KATIRHAT HIGH SCHOOL
104414,FOTEYABAD MOHAKHALI GIRLS HIGH SCHOOL
104415,MADARSHA HIGH SCHOOL
104416,MIRZAPUR HIGH SCHOOL
104417,NAZIRHAT COLLEGIATE SCHOOL
104418,EIDGAH HIGH SCHOOL
104419,KATIR HAT GIRLS HIGH SCHOOL
104420,GARDUARA HIGH SCHOOL
104421,DR. SHAHIDULLAH ACADEMY
104422,FORHADABAD HIGH SCHOOL
104423,FATEYABAD SHOILABALA CITY CORPORATION GIRLS HIGH SCHOOL
104424,GUMAN MARDAN PESHKAR HAT HIGH SCHOOL
104425,JOBRA P. P. HIGH SCHOOL
104426,SOUTH MEKHAL HIGH SCHOOL
104427,KHONDAKIA CHIKON DONDI GIRLS HIGH SCHOOL
104428,ENAYET PUR HIGH SCHOOL
104429,ABUL KHAIR SIDDIQUEE GIRLS HIGH SCHOOL
104430,MEKHAL ADARSHA HIGH SCHOOL
104431,BURISHCHAR HIGH SCHOOL
104432,MIRZAPUR GIRLS HIGH SCHOOL
104433,WEST DHALAI HIGH SCHOOL
104434,CHARIA HIGH SCHOOL
104435,B. C. S. I. R. LABORATORY HIGH SCHOOL
104436,KATAKHALI HIGH SCHOOL
104437,FAZLUL KADER CHOWDHURY ADARSHA HIGH SCHOOL
104439,NAGENDRA NATH MOHAJON JR. HIGH SCHOOL
104440,CHITTAGONG RESIDENTIAL HIGH SCHOOL
104442,PASCHIM MIRZAPUR JUNOUR HIGH SCHOOL
104443,ALAMPUR IDEAL JUNIOR HIGH SCHOOL
104468,CHITTAGONG UNIVERSITY SCHOOL & COLLEGE
104469,AKBARIA HIGH SCHOOL
104470,MARINE ACADEMY SCHOOL & COLLEGE
104471,MORIOM ASHRAM HIGH SCHOOL
104472,KALARPOL HAZI MOHAMMAD OMRA MIAN CHOWDHURY BOHUMUKHI HIGH SCHOOL
104473,ABDUL JALIL CHOWDHURY MULTILATERAL (AGRI:) HIGH SCHOOL
104475,LAKHERA HIGH SCHOOL
104476,WEST GOMDANDI UNION HIGH SCHOOL
104477,CHAR LAKSHYA UNION HIGH SCHOOL
104478,DANGAR CHAR RAHAMANIA JUNIOR HIGH SCHOOL
104486,AYUB BIBI CITY CORPORATION SCHOOL & COLLEGE
104487,CHITTAGONG UREA FERTILIZER SCHOOL AND COLLEGE
104488,"HAZI MOHAMMAD MOHSIN GOVT. HIGH SCHOOL, CHITTAGONG"
104489,SHAHEED NAGAR CITY CORP. GIRLS HIGH SCHOOL
104490,APARNA CHARAN CITY CORPORATION GIRLS HIGH SCHOOL
104491,KAZEM ALI HIGH SCHOOL
104492,Chattogram City Corporation Municipal Model School and College
104493,JAMAL KHAN KUSUM KUMARI CITY CORP. GIRLS HIGH SCHOOL
104494,PAHARIKA GIRLS HIGH SCHOOL
104495,KRISHNA KUMARI CITY CORPORATION GIRLS HIGH SCHOOL
104496,DR. KHASTAGIR GOVT. GIRLS HIGH SCHOOL
104497,BOLUARDIGHI CITY CORP. GIRLS HIGH SCHOOL
104498,BAGMONIRAM A. RASHID CITY CORPORATION HIGH SCHOOL
104499,KADAM MOBARAK CITY CORP. HIGH SCHOOL
104500,SHAH WALIULLAH INSTITUTE
104501,B. RAILWAY STATION COLONY HIGH SCHOOL
104502,PATHORGHATA MENKA CITY CORP. GIRLS HIGH SCHOOL
104503,KADAM MOBARAK MONIRUZZAMAN YASLAMABADI HIGH SCHOOL
104504,RAILWAY PUBLIC HIGH SCHOOL
104505,AL-KARAN SULTAN AHMED DEWAN CITY CORP. GIRLS HIGH SCHOOL
104506,AL KARAN NUR AHMAD CITY CORP. HIGH SCHOOL
104507,J. M. SEN SCHOOL AND COLLEGE
104508,POLOGROUND HIGH SCHOOL
104509,YAKUB ALI DUBASH GIRLS HIGH SCHOOL
104510,LAMABAZAR ASAD ALI SOWDAGAR CITY CORPORATION HIGH SCHOOL
104511,ST. SCHOLASTICA GIRLS HIGH SCHOOL
104512,PATHORGHATA GIRLS HIGH SCHOOL
104513,ST. PLACIDS HIGH SCHOOL
104514,BAGMONIRAM SIRAZA KHATUN CITY CORPORATION GIRLS HIGH SCHOOL
104515,M. E. S. HIGH SCHOOL
104516,RAILWAY HOSPITAL COLONY CITY CORPORATION HIGH SCHOOL
104517,GUL-E-ZAR BEGUM MUSLIM CITY CORPORATION GIRLS HIGH SCHOOL
104518,GOVT. MUSLIM HIGH SCHOOL
104519,CHITTAGONG GOVT. HIGH SCHOOL
104520,SALEH JOHUR CITY CORPORATION HIGH SCHOOL
104522,HAZI CHAND MEAH SOWDAGAR HIGH SCHOOL
104534,BANGLADESH MOHILA SAMITI GIRLS HIGH SCHOOL AND COLLEGE
104535,KAPASGOLA CITY CORPORATION GIRLS HIGH SCHOOL
104539,KOLAUZAN SUKHCHHARI GOURA SUNDAR HIGH SCHOOL
104540,AKHTARABAD KUMIRAGHONA ADARSA JUNIOR SCHOOL
104541,PODUA A. C. M. HIGH SCHOOL
104542,SOUTH SATKANIA GOLAMBARI HIGH SCHOOL
104543,NORTH AMIRABAD M. B. HIGH SCHOOL
104544,CHUNTI HIGH SCHOOL
104545,ADHUNAGAR HIGH SCHOOL
104546,SUKHCHHARI HIGH SCHOOL
104547,KOLAUZAN DR. EAKUB BAZLUR RAHMAN SHIKDER HIGH SCHOOL
104548,PUTI BILA HIGH SCHOOL
104549,CHARAMBA HIGH SCHOOL
104550,LOHAGARA SHAHPIR PILOT HIGH SCHOOL
104552,B. G. SENERHAT HIGH SCHOOL
104553,AMIRABAD JANAKALYAN HIGH SCHOOL
104554,BORA HATIA ADARSHA HIGH SCHOOL
104555,AMIRABAD JANAKALYAN GIRLS HIGH SCHOOL
104556,ADHUNAGAR GUL-E-ZAR GIRLS HIGH SCHOOL
104557,LOHAGARA SUKHCHHARI UZIR BHITA HIGH SCHOOL
104558,M. H. NURUL ALAM CHOWDHURY MODEL HIGH SCHOOL
104559,WEST KALAUZAN SHAH MOJZIDIA HIGH SCHOOL
104560,ADHERMANIK P.D.C HIGH SCHOOL
104561,RASIDER GHONA HIGH SCHOOL
104562,UTTAR PADUA HIGH SCHOOL
104563,MAIJBILA OLI AHAMAD BIR BIKRAM HIGH SCHOOL
104564,S. I. CHOWDHURY GIRLS HIGH SCHOOL
104565,GOURSTAN HIGH SCHOOL
104591,JONARDDAN PUR HIGH SCHOOL
104592,DURGAPUR N. C. HIGH SCHOOL
104593,BISHWA DARBAR HIGH SCHOOL
104594,JORARGANJ GIRLS HIGH SCHOOL
104595,WEST MAYANI ADARSHA HIGH SCHOOL
104596,BAROIYAHAT GIRLS HIGH SCHOOL
104597,MIRSORAI GIRLS HIGH SCHOOL
104598,MIRSARAI GOVT. MODEL HIGH SCHOOL
104599,JORARGANJ ADARSHA HIGH SCHOOL
104600,ABU TORAB BOHUMUKHI HIGH SCHOOL
104601,KHOIYA CHHARA HIGH SCHOOL
104602,SARKAR HAT N. R. HIGH SCHOOL
104603,NIZAMPUR MUSLIM HIGH SCHOOL
104604,KARERHAT K. M. HIGH SCHOOL
104605,MITHA NALA RAM DAYAL HIGH SCHOOL
104606,MITHA CHHARA HIGH SCHOOL
104607,ABURHAT HIGH SCHOOL
104608,MOLIAISH HIGH SCHOOL
104609,KAMOR ALI UNION HIGH SCHOOL
104610,MOHAZON HAT FAZLUR RAHMAN HIGH SCHOOL
104611,CHINKI ASTANA HIGH SCHOOL
104612,ABUL KASEM GIRLS HIGH SCHOOL
104613,ZAFRABAD HIGH SCHOOL
104614,BAMON SUNDAR FAKIR AHMED HIGH SCHOOL
104615,ALINAGAR LAYLA BEGUM HIGH SCHOOL
104616,DHUMGHAT HAZI CHAND MIAH HIGH SCHOOL
104617,HAIT KANDI HIGH SCHOOL
104618,ZHULAN POL BENI MADHAB HIGH SCHOOL
104619,MEHERUNNESA FAIZ HIGH SCHOOL
104620,GOLKER HAT P. N. GIRLS HIGH SCHOOL
104621,OCHMANPUR HIGH SCHOOL
104622,MOGHADIA NURUL ABSAR CHOWDHURY HIGH SCHOOL
104623,MOHALANKA HIGH SCHOOL
104624,JOYPUR PURBA JOAR A. NESSA O. HOQ HIGH SCHOOL
104625,FATEMA GIRLS HIGH SCHOOL
104626,SAHER KHALI HIGH SCHOOL
104627,NAHARPUR HIGH SCHOOL
104628,MAZEDA HOQ HIGH SCHOOL
104629,SHAFIUL ALAM ADARSHA HIGH SCHOOL
104630,JORARGANJ BOUDDYA HIGH SCHOOL
104631,MAZHARUL HOQUE CHOWDHURY HIGH SCHOOL
104632,SUFIA SECONDARY SCHOOL
104633,MOSJIDIA BAJLUS SOBHAN CHOWDHURY HIGH SCHOOL
104663,HAJI ABDUL ALI CITY CORPORATION HIGH SCHOOL
104664,GORIBE-NEWAZ HIGH SCHOOL
104665,P.H.AMIN ACADEMY
104666,ISPAHANI ADARSHA HIGH SCHOOL
104667,FIROZ SHAH CITY CORP. GIRLS HIGH SCHOOL
104668,MIRZA AHMED ISPAHANI HIGH SCHOOL
104669,CUSTOMS LABORATORY SCHOOL
104670,KATTALI NURUL HOQ CHOWDHURY HIGH SCHOOL
104671,KATTALI CITY CORP. GIRLS HIGH SCHOOL
104672,HALISHAHOR AL-HAJ MOHABBAT ALI CITY CORP. HIGH SCHOOL
104673,BANGLADESH RAILWAY GOVT. HIGH SCHOOL
104674,BASONTI GIRLS HIGH SCHOOL
104675,PAHARTALI GIRLS SCHOOL & COLLEGE
104676,RABEYA BASRI GIRLS HIGH SCHOOL
104677,SHAHEED LT. G. M. MUSFIQUE BIR UTTAM HIGH SCHOOL
104678,UTTAR KATTALI ALHAJ MOSTAFA HAKIM HIGH SCHOOL
104690,SARAIPARA CITY CORP. SCHOOL AND COLLEGE
104691,NASIRABAD GOVT. HIGH SCHOOL
104692,AUNKUR SOCIETY GIRLS HIGH SCHOOL
104693,CHITTAGONG GOVT. GIRLS HIGH SCHOOL
104694,PROBORTOK SCHOOL & COLLEGE
104695,WAZEDIA HIGH SCHOOL
104696,BAN GABESANAGAR HIGH SCHOOL
104697,RAHMANIA HIGH SCHOOL
104698,SHOLO SHAHOR PUBLIC SCHOOL
104699,PANCHLAISH CITY CORP. GIRLS HIGH SCHOOL
104700,ASHEKANE AULIA ABDUL MONAEM HIGH SCHOOL
104701,PANCHLAISH HIGH SCHOOL
104711,ISPAHANI PUBLIC SCHOOL & COLLEGE
104712,YEAKUB DANDI H. P. HIGH SCHOOL
104713,ARFA-KARIM HIGH SCHOOL
104714,ASHIYA HIGH SCHOOL
104715,PATIA ADARSHA HIGH SCHOOL
104716,KHALILUR RAHMAN GIRLS HIGH SCHOOL
104717,SHAH AMIR HIGH SCHOOL
104718,ABDUS SOBHAN RAHAT ALI HIGH SCHOOL
104719,UNION KRISHI HIGH SCHOOL
104720,ABDUR RAHMAN GOVT. GIRLS HIGH SCHOOL
104721,P. D. B. HIGH SCHOOL
104722,MOZAFARABAD N. J. HIGH SCHOOL
104723,HABILASH DWIP HIGH SCHOOL
104724,KORTALA BELKHAIN MOHABOUDI HIGH SCHOOL
104725,GOIRALA HIGH SCHOOL
104726,CHAKRA SHALA KRISHI HIGH SCHOOL
104727,NOLINIKANTA MEMORIAL INSTITUTE
104728,JANGALKHAIN HIGH SCHOOL
104729,KELISHAHOR HIGH SCHOOL
104730,CHAR KANAI HIGH SCHOOL
104731,HABILASH DWIP GIRLS HIGH SCHOOL
104732,KASHIAISH HIGH SCHOOL
104733,SOUTH BHURSHI HIGH SCHOOL
104734,BATHUA HIGH SCHOOL
104735,S. A. NUR HIGH SCHOOL
104736,CHANHORA SHOROSHI BALA HIGH SCHOOL
104737,MUKUT NIGHT HIGH SCHOOL
